                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45539,                0.27662,                0.87039,                0.92132,                0.90692,                 0.9532,                0.78425,                0.77837,                 0.5305,                  1.072,             0.00065942,             0.00065942,             0.00065942
                      2,                0.50869,                0.30667,                0.88425,                0.92514,                0.91116,                 0.9558,                0.75898,                0.86327,                0.50806,                 1.1113,              0.0012998,              0.0012998,              0.0012998
                      3,                 0.5317,                0.32979,                0.89452,                0.93654,                0.86788,                0.94161,                0.76092,                0.81766,                0.57675,                 1.0895,              0.0019138,              0.0019138,              0.0019138
                      4,                0.58103,                0.35534,                0.91571,                0.91237,                0.90121,                0.93516,                0.75969,                0.81771,                0.61279,                 1.0857,              0.0018812,              0.0018812,              0.0018812
                      5,                0.59445,                0.36976,                0.92742,                0.93403,                0.87076,                0.93719,                0.72943,                0.85607,                0.56062,                 1.1001,              0.0018812,              0.0018812,              0.0018812
                      6,                0.57493,                0.36247,                0.91785,                0.93017,                0.89066,                0.95052,                0.75564,                0.81871,                0.55018,                 1.1026,              0.0018416,              0.0018416,              0.0018416
                      7,                0.59047,                0.36197,                0.91613,                0.94554,                0.87472,                0.94204,                0.75934,                0.82984,                0.55941,                 1.0573,               0.001802,               0.001802,               0.001802
                      8,                0.58688,                0.36657,                0.91871,                0.94288,                0.86482,                0.94262,                0.75167,                0.82879,                0.56391,                 1.0983,              0.0017624,              0.0017624,              0.0017624
                      9,                0.57911,                0.35383,                0.91613,                0.91665,                0.90186,                 0.9438,                0.75759,                0.83923,                 0.5654,                 1.0984,              0.0017228,              0.0017228,              0.0017228
                     10,                0.58969,                0.36352,                0.92548,                0.91763,                0.88816,                0.94809,                0.75431,                0.84614,                0.52262,                  1.108,              0.0016832,              0.0016832,              0.0016832
                     11,                 0.5818,                0.35642,                 0.9221,                0.92352,                0.89749,                0.93997,                0.73862,                0.85898,                0.53041,                  1.109,              0.0016436,              0.0016436,              0.0016436
