                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,0.80449,0.48632,0.93914,0.91989,0.86321,0.93187,0.71537,0.87082,0.59816,0.99011,0.00065942,0.00065942,0.00065942
2,0.89554,0.58259,0.97509,0.87698,0.87687,0.91371,0.6588,0.93479,0.65539,1.0217,0.0011948,0.0011948,0.0011948
3,0.94258,0.64371,1.0087,0.858,0.81204,0.88851,0.65961,0.95297,0.84356,1.0532,0.0015982,0.0015982,0.0015982
4,0.9518,0.63764,1.0231,0.89906,0.84282,0.91006,0.66203,0.95836,0.69426,1.0523,0.001406,0.001406,0.001406
5,0.94375,0.62562,1.0016,0.9177,0.86364,0.9238,0.69866,0.94296,0.64861,1.035,0.001406,0.001406,0.001406
6,0.91463,0.5855,0.99862,0.91538,0.84738,0.92935,0.7025,0.91406,0.62237,1.0185,0.001208,0.001208,0.001208
7,0.86396,0.56133,0.96895,0.89069,0.85384,0.93411,0.71373,0.8749,0.61937,0.99501,0.00101,0.00101,0.00101
8,0.84649,0.5423,0.9695,0.91608,0.86333,0.94343,0.72772,0.88335,0.57379,1.0043,0.000812,0.000812,0.000812
9,0.80939,0.48848,0.94395,0.93649,0.86788,0.94784,0.74472,0.84248,0.54252,0.98415,0.000614,0.000614,0.000614
10,0.7852,0.45812,0.94081,0.93207,0.90641,0.95955,0.76455,0.81027,0.4882,0.96458,0.000416,0.000416,0.000416
