epochs,train_loss,train_acc,val_acc
1,3.2796737182293376,0.0804304920632243,0.0992087644552647
2,2.446152173894267,0.2746158128236703,0.6430648542638804
3,0.908948748490652,0.7036908959025657,0.7912355447352404
4,0.5829788081401855,0.8157166714461632,0.8569013322513018
5,0.4522570718645816,0.8581248629409085,0.8829377155609657
6,0.281889927888368,0.9132521381218266,0.9075539325082844
7,0.2462865835756008,0.9239891364855518,0.912625955230946
8,0.2254489685823096,0.9294377625208752,0.9166835734090756
9,0.2110691708171216,0.9345405779254736,0.91451951038074
10,0.1945103814845552,0.9395927868963074,0.9159396767430852
11,0.2986689123243793,0.9172995780590716,0.8707482993197279
11,0.33590229798689464,0.8934312848973532,0.8895651585852438
12,0.30236477205950446,0.904235758506098,0.9063366470548455
13,0.26726629837834553,0.916263220930821,0.9089740988706296
14,0.23936768984725124,0.9235505473929252,0.9087035909920876
15,0.21709153129543865,0.930829439449402,0.9174950970447014
16,0.12422544897031398,0.9616234543951687,0.9319672685466964
17,0.09976016508185072,0.9692903291105076,0.9331169270304998
18,0.08771077026007966,0.9730858116428536,0.9343342124839386
19,0.0777937855285666,0.9763246234037888,0.9344018394535741
20,0.07144267579307827,0.9776909971154333,0.9342665855143031
21,0.05925211135446294,0.9824564362949343,0.9343342124839386
22,0.05691915687925665,0.9833504832914425,0.9340637046053967
23,0.05602706271710774,0.983476999375854,0.9332521809697707
24,0.0545587797209149,0.9836203842715204,0.9344694664232096
25,0.05395040235889654,0.9839493260909904,0.9329816730912288
